"item_name","category","subcategory","item_type","brand","compatible_models","sku","selling_price","minimum_selling_price","cost_price","quantity","minimum_stock","supplier","shelf_location","notes","image_url"
"iPhone XR Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone XR","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XR.jpg"
"iPhone XS Back Glass","Phone Parts","Back Glass","part","Apple","iPhone XS","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone XS Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone XS","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone XS Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone XS","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone XS Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone XS Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone XS Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone XS Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone XS Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone XS Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XS.jpg"
"iPhone 11 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 11","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 11","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 11","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 11 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 11 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 11 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 11 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 11 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 11 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 11 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone SE (2nd generation) Back Glass","Phone Parts","Back Glass","part","Apple","iPhone SE (2nd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone SE (2nd generation) Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone SE (2nd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone SE (2nd generation) Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone SE (2nd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_11_all_color.jpg"
"iPhone 12 mini Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 12 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 mini Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 12 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 mini Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 12 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 12","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 12","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 12","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 12 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 12 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 12 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 12 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 12 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 12 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 12 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Iphone-12-product--red.png"
"iPhone 13 mini Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 13 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 mini Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 13 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 mini Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 13 mini","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 13","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 13","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 13","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 13 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 13 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone 13 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 13 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone 13 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 13 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone 13 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 13 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone 13 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 13 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone 13 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 13 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_13_Pro.jpg"
"iPhone SE (3rd generation) Back Glass","Phone Parts","Back Glass","part","Apple","iPhone SE (3rd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone SE (3rd generation) Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone SE (3rd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone SE (3rd generation) Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone SE (3rd generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_13.jpg"
"iPhone 14 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 14","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 14","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 14","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 14 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 14 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 14 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_20240225.jpg"
"iPhone 14 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 14 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 14 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 14 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 14 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 14 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 14 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 14 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 14 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 14 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 14 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 14 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_14_Pro.jpg"
"iPhone 15 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 15","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 15","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 15","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 15 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 15 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 15 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15.jpg"
"iPhone 15 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 15 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 15 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 15 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 15 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 15 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 15 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 15 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 15 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 15 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 15 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 15 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_15_Pro.jpg"
"iPhone 16e Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 16e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16e Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 16e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16e Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 16e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 16","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 16","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 16","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 16 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 16 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 16 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 16 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 16 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 16 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
